Year,Average Global temperature,Average Abu Dhabi Temperature,,,Year,Moving Average Global temperature,Moving Average Abu Dhabi Temperature
1843,8.17,26.04,,,1843,,
1844,7.65,26.26,,,1844,,
1848,7.98,25.83,,,1848,7.933333333,26.04333333
1849,7.98,26.01,,,1849,7.87,26.03333333
1850,7.9,25.69,,,1850,7.953333333,25.84333333
1851,8.18,26.25,,,1851,8.02,25.98333333
1861,7.85,25.1,,,1861,7.976666667,25.68
1862,7.56,25.34,,,1862,7.863333333,25.56333333
1863,8.11,23.62,,,1863,7.84,24.68666667
1864,7.98,26,,,1864,7.883333333,24.98666667
1865,8.18,26.26,,,1865,8.09,25.29333333
1866,8.29,26.09,,,1866,8.15,26.11666667
1867,8.44,26.44,,,1867,8.303333333,26.26333333
1868,8.25,26.33,,,1868,8.326666667,26.28666667
1869,8.43,26.51,,,1869,8.373333333,26.42666667
1870,8.2,26.24,,,1870,8.293333333,26.36
1871,8.12,26.17,,,1871,8.25,26.30666667
1872,8.19,26.16,,,1872,8.17,26.19
1873,8.35,26.42,,,1873,8.22,26.25
1874,8.43,26.3,,,1874,8.323333333,26.29333333
1875,7.86,26.13,,,1875,8.213333333,26.28333333
1876,8.08,26.19,,,1876,8.123333333,26.20666667
1877,8.54,26.59,,,1877,8.16,26.30333333
1878,8.83,26.59,,,1878,8.483333333,26.45666667
1879,8.17,26.09,,,1879,8.513333333,26.42333333
1880,8.12,26.2,,,1880,8.373333333,26.29333333
1881,8.27,26.75,,,1881,8.186666667,26.34666667
1882,8.13,26.05,,,1882,8.173333333,26.33333333
1883,7.98,26.3,,,1883,8.126666667,26.36666667
1884,7.77,26.15,,,1884,7.96,26.16666667
1885,7.92,26.1,,,1885,7.89,26.18333333
1886,7.95,26.38,,,1886,7.88,26.21
1887,7.91,26.08,,,1887,7.926666667,26.18666667
1888,8.09,26.3,,,1888,7.983333333,26.25333333
1889,8.32,26.61,,,1889,8.106666667,26.33
1890,7.97,26.2,,,1890,8.126666667,26.37
1891,8.02,26.43,,,1891,8.103333333,26.41333333
1892,8.07,26.55,,,1892,8.02,26.39333333
1893,8.06,26.36,,,1893,8.05,26.44666667
1894,8.16,26.24,,,1894,8.096666667,26.38333333
1895,8.15,25.98,,,1895,8.123333333,26.19333333
1896,8.21,26.36,,,1896,8.173333333,26.19333333
1897,8.29,26.29,,,1897,8.216666667,26.21
